Dataset_ID,Values_Input_Length
256,5
185,5
211,5
115,5
177,5
110,5
103,5
287,5
200,5
242,5
272,5
218,5
165,5
119,5
212,5
294,5
198,5
131,5
246,5
301,5
227,5
188,5
209,5
118,5
151,5
153,5
161,5
310,5
102,5
386,5
43,5
439,5
348,5
483,5
29,5
314,5
66,5
297,5
290,5
383,5
401,5
440,5
155,5
176,5
354,5
469,5
447,5
335,5
325,5
12,5
507,5
251,5
482,5
306,5
9,5
21,5
74,5
361,5
321,5
141,5
23,5
506,5
39,5
338,5
352,5
367,5
495,5
205,5
105,5
204,5
300,5
217,5
446,5
428,5
79,5
75,5
391,5
490,5
370,5
453,5
437,5
491,5
430,5
499,5
397,5
435,5
462,5
451,5
92,5
429,5
505,5
42,5
465,5
461,5
498,5
421,5
